Drug_UMLS_CUI,Gene_UMLS_CUI,GROUNDTRUTH
C4292384,C1418469,0
C4292384,C1418470,0
C4292384,C1414085,0
C4292384,C3469975,0
C4292384,C1420150,0
C0002615,C1538301,0
C0002615,C1415012,0
C0002615,C1415009,0
C0002615,C1417647,0
C0002615,C1420527,0
C0002615,C1412691,0
C0002615,C1418674,0
C0002615,C1418469,0
C0002615,C1418470,0
C0002615,C1414085,0
C0002615,C3469975,0
C0002615,C1420150,0
C3852938,C1538301,0
C3852938,C1415012,0
C3852938,C1415009,0
C3852938,C1417647,0
C3852938,C1420527,0
C3852938,C1412691,0
C3852938,C1418674,0
C3852938,C1418469,0
C3852938,C1418470,0
C3852938,C1414085,0
C3852938,C3469975,0
C3852938,C1420150,0
C0023401,C1538301,0
C0023401,C1415012,0
C0023401,C1412339,0
C0023401,C1415009,0
C0023401,C1417647,0
C0023401,C1420527,0
C0023401,C1412691,0
C0023401,C1418674,0
C0023401,C1418469,0
C0023401,C1418470,0
C0023401,C1414085,0
C0023401,C3469975,0
C0023401,C1420150,0
C0010620,C1538301,0
C0010620,C1415012,0
C0010620,C1412339,0
C0010620,C1415009,0
C0010620,C1417647,0
C0010620,C1420527,0
C0010620,C1412691,0
C0010620,C1418674,0
C0010620,C1418469,0
C0010620,C1418470,0
C0010620,C1414085,0
C0010620,C3469975,0
C0010620,C1420150,0
C1700683,C1538301,0
C1700683,C1415012,0
C1700683,C1412339,0
C1700683,C1415009,0
C1700683,C1417647,0
C1700683,C1420527,0
C1700683,C1412691,0
C1700683,C1418674,0
C1700683,C1418469,0
C1700683,C1418470,0
C1700683,C1414085,0
C1700683,C3469975,0
C1700683,C1420150,0
C1527027,C1538301,0
C1527027,C1415012,0
C1527027,C1415009,0
C1527027,C1417647,0
C1527027,C1420527,0
C1527027,C1412691,0
C1527027,C1418674,0
C1527027,C1418469,0
C1527027,C1418470,0
C1527027,C1414085,0
C1527027,C3469975,0
C1527027,C1420150,0
C4255947,C1538301,0
C4255947,C1415012,0
C4255947,C1415009,0
C4255947,C1417647,0
C4255947,C1420527,0
C4255947,C1412691,0
C4255947,C1418674,0
C4255947,C1418469,0
C4255947,C1418470,0
C4255947,C1414085,0
C4255947,C3469975,0
C4255947,C1420150,0
C1508759,C1538301,0
C1508759,C1415012,0
C1508759,C1412339,0
C1508759,C1415009,0
C1508759,C1417647,0
C1508759,C1420527,0
C1508759,C1412691,0
C1508759,C1418674,0
C1508759,C1418469,0
C1508759,C1418470,0
C1508759,C1414085,0
C1508759,C3469975,0
C1508759,C1420150,0
C1455513,C1538301,0
C1455513,C1415012,0
C1455513,C1415009,0
C1455513,C1417647,0
C1455513,C1420527,0
C1455513,C1412691,0
C1455513,C1418674,0
C1455513,C1418469,0
C1455513,C1418470,0
C1455513,C1414085,0
C1455513,C3469975,0
C1455513,C1420150,0
C0060179,C1538301,0
C0060179,C1415012,0
C0060179,C1415009,0
C0060179,C1417647,0
C0060179,C1420527,0
C0060179,C1412691,0
C0060179,C1418674,0
C0060179,C1418469,0
C0060179,C1418470,0
C0060179,C1414085,0
C0060179,C3469975,0
C0060179,C1420150,0
C0038665,C1538301,0
C0038665,C1415012,0
C0038665,C1415009,0
C0038665,C1417647,0
C0038665,C1420527,0
C0038665,C1412691,0
C0038665,C1418674,0
C0038665,C1418469,0
C0038665,C1418470,0
C0038665,C1414085,0
C0038665,C3469975,0
C0038665,C1420150,0
C0209210,C1538301,0
C0209210,C1415012,0
C0209210,C1415009,0
C0209210,C1417647,0
C0209210,C1420527,0
C0209210,C1412691,0
C0209210,C1418674,0
C0209210,C1418469,0
C0209210,C1418470,0
C0209210,C1414085,0
C0209210,C3469975,0
C0209210,C1420150,0
C4310440,C1538301,0
C4310440,C1415012,0
C4310440,C1415009,0
C4310440,C1417647,0
C4310440,C1420527,0
C4310440,C1412691,0
C4310440,C1418674,0
C4310440,C1418469,0
C4310440,C1418470,0
C4310440,C1414085,0
C4310440,C3469975,0
C4310440,C1420150,0
C0077497,C1538301,0
C0077497,C1415012,0
C0077497,C1412339,0
C0077497,C1415009,0
C0077497,C1417647,0
C0077497,C1420527,0
C0077497,C1412691,0
C0077497,C1418674,0
C0077497,C1418469,0
C0077497,C1418470,0
C0077497,C1414085,0
C0077497,C3469975,0
C0077497,C1420150,0
C0017905,C1538301,0
C0017905,C1415012,0
C0017905,C1415009,0
C0017905,C1417647,0
C0017905,C1420527,0
C0017905,C1412691,0
C0017905,C1418674,0
C0017905,C1418469,0
C0017905,C1418470,0
C0017905,C1414085,0
C0017905,C3469975,0
C0017905,C1420150,0
C0038722,C1538301,0
C0038722,C1415012,0
C0038722,C1415009,0
C0038722,C1417647,0
C0038722,C1420527,0
C0038722,C1412691,0
C0038722,C1418674,0
C0038722,C1418469,0
C0038722,C1418470,0
C0038722,C1414085,0
C0038722,C3469975,0
C0038722,C1420150,0
C0025646,C1538301,0
C0025646,C1415012,0
C0025646,C1412339,0
C0025646,C1415009,0
C0025646,C1417647,0
C0025646,C1420527,0
C0025646,C1412691,0
C0025646,C1418674,0
C0025646,C1418469,0
C0025646,C1418470,0
C0025646,C1414085,0
C0025646,C3469975,0
C0025646,C1420150,0
C1832021,C1538301,0
C1832021,C1415012,0
C1832021,C1415009,0
C1832021,C1417647,0
C1832021,C1420527,0
C1832021,C1412691,0
C1832021,C1418674,0
C1832021,C1418469,0
C1832021,C1418470,0
C1832021,C1414085,0
C1832021,C3469975,0
C1832021,C1420150,0
C1871526,C1538301,0
C1871526,C1415012,0
C1871526,C1415009,0
C1871526,C1417647,0
C1871526,C1420527,0
C1871526,C1412691,0
C1871526,C1418674,0
C1871526,C1418469,0
C1871526,C1418470,0
C1871526,C1414085,0
C1871526,C3469975,0
C1871526,C1420150,0
C2698291,C1538301,0
C2698291,C1415012,0
C2698291,C1415009,0
C2698291,C1417647,0
C2698291,C1420527,0
C2698291,C1412691,0
C2698291,C1418674,0
C2698291,C1418469,0
C2698291,C1418470,0
C2698291,C1414085,0
C2698291,C3469975,0
C2698291,C1420150,0
C0044680,C1538301,0
C0044680,C1415012,0
C0044680,C1415009,0
C0044680,C1417647,0
C0044680,C1420527,0
C0044680,C1412691,0
C0044680,C1418674,0
C0044680,C1418469,0
C0044680,C1418470,0
C0044680,C1414085,0
C0044680,C3469975,0
C0044680,C1420150,0
C0535459,C1538301,0
C0535459,C1415012,0
C0535459,C1415009,0
C0535459,C1417647,0
C0535459,C1420527,0
C0535459,C1412691,0
C0535459,C1418674,0
C0535459,C1418469,0
C0535459,C1418470,0
C0535459,C1414085,0
C0535459,C3469975,0
C0535459,C1420150,0
C1658209,C1538301,0
C1658209,C1415012,0
C1658209,C1415009,0
C1658209,C1417647,0
C1658209,C1420527,0
C1658209,C1412691,0
C1658209,C1418674,0
C1658209,C1418469,0
C1658209,C1418470,0
C1658209,C1414085,0
C1658209,C3469975,0
C1658209,C1420150,0
C1317928,C1538301,0
C1317928,C1415012,0
C1317928,C1415009,0
C1317928,C1417647,0
C1317928,C1420527,0
C1317928,C1412691,0
C1317928,C1418674,0
C1317928,C1418469,0
C1317928,C1418470,0
C1317928,C1414085,0
C1317928,C3469975,0
C1317928,C1420150,0
C0935916,C1538301,0
C0935916,C1415012,0
C0935916,C1415009,0
C0935916,C1417647,0
C0935916,C1420527,0
C0935916,C1412691,0
C0935916,C1418674,0
C0935916,C1418469,0
C0935916,C1418470,0
C0935916,C1414085,0
C0935916,C3469975,0
C0935916,C1420150,0
C0008845,C1538301,0
C0008845,C1415012,0
C0008845,C1412339,0
C0008845,C1415009,0
C0008845,C1417647,0
C0008845,C1420527,0
C0008845,C1412691,0
C0008845,C1418674,0
C0008845,C1418469,0
C0008845,C1418470,0
C0008845,C1414085,0
C0008845,C3469975,0
C0008845,C1420150,0
C4078312,C1538301,0
C4078312,C1415012,0
C4078312,C1415009,0
C4078312,C1417647,0
C4078312,C1420527,0
C4078312,C1412691,0
C4078312,C1418674,0
C4078312,C1418469,0
C4078312,C1418470,0
C4078312,C1414085,0
C4078312,C3469975,0
C4078312,C1420150,0
C0167626,C1538301,0
C0167626,C1415012,0
C0167626,C1415009,0
C0167626,C1417647,0
C0167626,C1420527,0
C0167626,C1412691,0
C0167626,C1418674,0
C0167626,C1418469,0
C0167626,C1418470,0
C0167626,C1414085,0
C0167626,C3469975,0
C0167626,C1420150,0
C2699871,C1538301,0
C2699871,C1415012,0
C2699871,C1415009,0
C2699871,C1417647,0
C2699871,C1420527,0
C2699871,C1412691,0
C2699871,C1418674,0
C2699871,C1418469,0
C2699871,C1418470,0
C2699871,C1414085,0
C0052820,C1538301,0
C0052820,C1415012,0
C0052820,C1415009,0
C0052820,C1417647,0
C0052820,C1420527,0
C0052820,C1412691,0
C0052820,C1418674,0
C0052820,C1418469,0
C0052820,C1418470,0
C0052820,C1414085,0
C0052820,C3469975,0
C0052820,C1420150,0
C2698280,C1538301,0
C2698280,C1415012,0
C2698280,C1415009,0
C2698280,C1417647,0
C2698280,C1420527,0
C2698280,C1412691,0
C2698280,C1418674,0
C2698280,C1418469,0
C2698280,C1418470,0
C2698280,C1414085,0
C2698280,C3469975,0
C2698280,C1420150,0
C0068314,C1538301,0
C0068314,C1415012,0
C0068314,C1415009,0
C0068314,C1417647,0
C0068314,C1420527,0
C0068314,C1412691,0
C0068314,C1418674,0
C0068314,C1418469,0
C0068314,C1418470,0
C0068314,C1414085,0
C0068314,C3469975,0
C0068314,C1420150,0
C0034239,C1538301,0
C0034239,C1415012,0
C0034239,C1415009,0
C0034239,C1417647,0
C0034239,C1420527,0
C0034239,C1412691,0
C0034239,C1418674,0
C0034239,C1418469,0
C0034239,C1418470,0
C0034239,C1414085,0
C0034239,C3469975,0
C0034239,C1420150,0
C4256141,C1538301,0
C4256141,C1415012,0
C4256141,C1415009,0
C4256141,C1417647,0
C4256141,C1420527,0
C4256141,C1412691,0
C4256141,C1418674,0
C4256141,C1418469,0
C4256141,C1418470,0
C4256141,C1414085,0
C4256141,C3469975,0
C4256141,C1420150,0
C5139676,C1538301,0
C5139676,C1415012,0
C5139676,C1415009,0
C5139676,C1417647,0
C5139676,C1420527,0
C5139676,C1412691,0
C5139676,C1418674,0
C5139676,C1418469,0
C5139676,C1418470,0
C5139676,C1414085,0
C5139676,C3469975,0
C5139676,C1420150,0
C2713074,C1538301,0
C2713074,C1415012,0
C2713074,C1415009,0
C2713074,C1417647,0
C2713074,C1420527,0
C2713074,C1412691,0
C2713074,C1418674,0
C2713074,C1418469,0
C2713074,C1418470,0
C2713074,C1414085,0
C2713074,C3469975,0
C2713074,C1420150,0
C1172734,C1538301,0
C1172734,C1415012,0
C1172734,C1415009,0
C1172734,C1417647,0
C1172734,C1420527,0
C1172734,C1412691,0
C1172734,C1418674,0
C1172734,C1418469,0
C1172734,C1418470,0
C1172734,C1414085,0
C1172734,C3469975,0
C1172734,C1420150,0
C0030078,C1538301,0
C0030078,C1415012,0
C0030078,C1415009,0
C0030078,C1417647,0
C0030078,C1420527,0
C0030078,C1412691,0
C0030078,C1418674,0
C0030078,C1418469,0
C0030078,C1418470,0
C0030078,C1414085,0
C0030078,C3469975,0
C0030078,C1420150,0
C0035525,C1538301,0
C0035525,C1415012,0
C0035525,C1415009,0
C0035525,C1417647,0
C0035525,C1420527,0
C0035525,C1412691,0
C0035525,C1418674,0
C0035525,C1418469,0
C0035525,C1418470,0
C0035525,C1414085,0
C0035525,C3469975,0
C0035525,C1420150,0
C0017889,C1538301,0
C0017889,C1415012,0
C0017889,C1415009,0
C0017889,C1417647,0
C0017889,C1420527,0
C0017889,C1412691,0
C0017889,C1418674,0
C0017889,C1418469,0
C0017889,C1418470,0
C0017889,C1414085,0
C0017889,C3469975,0
C0017889,C1420150,0
C0903898,C1538301,0
C0903898,C1415012,0
C0903898,C1415009,0
C0903898,C1417647,0
C0903898,C1420527,0
C0903898,C1412691,0
C0903898,C1418674,0
C0903898,C1418469,0
C0903898,C1418470,0
C0903898,C1414085,0
C0903898,C3469975,0
C0903898,C1420150,0
C0005320,C1538301,0
C0005320,C1415012,0
C0005320,C1412339,0
C0005320,C1415009,0
C0005320,C1417647,0
C0005320,C1420527,0
C0005320,C1412691,0
C0005320,C1418674,0
C0005320,C1418469,0
C0005320,C1418470,0
C0005320,C1414085,0
C0005320,C3469975,0
C0005320,C1420150,0
C0070093,C1538301,0
C0070093,C1415012,0
C0070093,C1415009,0
C0070093,C1417647,0
C0070093,C1420527,0
C0070093,C1412691,0
C0070093,C1418674,0
C0070093,C1418469,0
C0070093,C1418470,0
C0070093,C1414085,0
C0070093,C3469975,0
C0070093,C1420150,0
C0753318,C1538301,0
C0753318,C1415012,0
C0753318,C1415009,0
C0753318,C1417647,0
C0753318,C1420527,0
C0753318,C1412691,0
C0753318,C1418674,0
C0753318,C1418469,0
C0753318,C1418470,0
C0753318,C1414085,0
C0753318,C3469975,0
C0753318,C1420150,0
C4255918,C1538301,0
C4255918,C1415012,0
C4255918,C1415009,0
C4255918,C1417647,0
C4255918,C1420527,0
C4255918,C1412691,0
C4255918,C1418674,0
C4255918,C1418469,0
C4255918,C1418470,0
C4255918,C1414085,0
C4255918,C3469975,0
C4255918,C1420150,0
C1958126,C1538301,0
C1958126,C1415012,0
C1958126,C1412339,0
C1958126,C1415009,0
C1958126,C1417647,0
C1958126,C1420527,0
C1958126,C1412691,0
C1958126,C1418674,0
C1958126,C1418469,0
C1958126,C1418470,0
C1958126,C1414085,0
C1958126,C3469975,0
C1958126,C1420150,0
C0058218,C1538301,0
C0058218,C1415012,0
C0058218,C1415009,0
C0058218,C1417647,0
C0058218,C1420527,0
C0058218,C1412691,0
C0058218,C1418674,0
C0058218,C1418469,0
C0058218,C1418470,0
C0058218,C1414085,0
C0058218,C3469975,0
C0058218,C1420150,0
C0754576,C1538301,0
C0754576,C1415012,0
C0754576,C1415009,0
C0754576,C1417647,0
C0754576,C1420527,0
C0754576,C1412691,0
C0754576,C1418674,0
C0754576,C1418469,0
C0754576,C1418470,0
C0754576,C1414085,0
C0754576,C3469975,0
C0754576,C1420150,0
C0066837,C1538301,0
C0066837,C1415012,0
C0066837,C1415009,0
C0066837,C1417647,0
C0066837,C1420527,0
C0066837,C1412691,0
C0066837,C1418674,0
C0066837,C1418469,0
C0066837,C1418470,0
C0066837,C1414085,0
C0066837,C3469975,0
C0066837,C1420150,0
C0962559,C1538301,0
C0962559,C1415012,0
C0962559,C1415009,0
C0962559,C1417647,0
C0962559,C1420527,0
C0962559,C1412691,0
C0962559,C1418674,0
C0962559,C1418469,0
C0962559,C1418470,0
C0962559,C1414085,0
C0962559,C3469975,0
C0962559,C1420150,0
C0022209,C1538301,0
C0022209,C1415012,0
C0022209,C1415009,0
C0022209,C1417647,0
C0022209,C1420527,0
C0022209,C1412691,0
C0022209,C1418674,0
C0022209,C1418469,0
C0022209,C1418470,0
C0022209,C1414085,0
C0022209,C3469975,0
C0022209,C1420150,0
C4256139,C1538301,0
C4256139,C1415012,0
C4256139,C1415009,0
C4256139,C1417647,0
C4256139,C1420527,0
C4256139,C1412691,0
C4256139,C1418674,0
C4256139,C1418469,0
C4256139,C1418470,0
C4256139,C1414085,0
C4256139,C3469975,0
C4256139,C1420150,0
C0052585,C1538301,0
C0052585,C1415012,0
C0052585,C1415009,0
C0052585,C1417647,0
C0052585,C1420527,0
C0052585,C1412691,0
C0052585,C1418674,0
C0052585,C1418469,0
C0052585,C1418470,0
C0052585,C1414085,0
C0052585,C3469975,0
C0052585,C1420150,0
C1871407,C1538301,0
C1871407,C1415012,0
C1871407,C1415009,0
C1871407,C1417647,0
C1871407,C1420527,0
C1871407,C1412691,0
C1871407,C1418674,0
C1871407,C1418469,0
C1871407,C1418470,0
C1871407,C1414085,0
C1871407,C3469975,0
C1871407,C1420150,0
C2744850,C1538301,0
C2744850,C1415012,0
C2744850,C1415009,0
C2744850,C1417647,0
C2744850,C1420527,0
C2744850,C1412691,0
C2744850,C1418674,0
C2744850,C1418469,0
C2744850,C1418470,0
C2744850,C1414085,0
C2744850,C3469975,0
C2744850,C1420150,0
C2001856,C1538301,0
C2001856,C1415012,0
C2001856,C1415009,0
C2001856,C1417647,0
C2001856,C1420527,0
C2001856,C1412691,0
C2001856,C1418674,0
C2001856,C1418469,0
C2001856,C1418470,0
C2001856,C1414085,0
C2001856,C3469975,0
C2001856,C1420150,0
C0002371,C1538301,0
C0002371,C1415012,0
C0002371,C1415009,0
C0002371,C1417647,0
C0002371,C1420527,0
C0002371,C1412691,0
C0002371,C1418674,0
C0002371,C1418469,0
C0002371,C1418470,0
C0002371,C1414085,0
C0002371,C3469975,0
C0002371,C1420150,0
C1098320,C1538301,0
C1098320,C1415012,0
C1098320,C1415009,0
C1098320,C1417647,0
C1098320,C1420527,0
C1098320,C1412691,0
C1098320,C1418674,0
C1098320,C1418469,0
C1098320,C1418470,0
C1098320,C1414085,0
C1098320,C3469975,0
C1098320,C1420150,0
C0071330,C1538301,0
C0071330,C1415012,0
C0071330,C1415009,0
C0071330,C1417647,0
C0071330,C1420527,0
C0071330,C1412691,0
C0071330,C1418674,0
C0071330,C1418469,0
C0071330,C1418470,0
C0071330,C1414085,0
C0071330,C3469975,0
C0071330,C1420150,0
C0525678,C1538301,0
C0525678,C1415012,0
C0525678,C1415009,0
C0525678,C1417647,0
C0525678,C1420527,0
C0525678,C1412691,0
C0525678,C1418674,0
C0525678,C1418469,0
C0525678,C1418470,0
C0525678,C1414085,0
C0525678,C3469975,0
C0525678,C1420150,0
C4703837,C1538301,0
C4703837,C1415012,0
C4703837,C1415009,0
C4703837,C1417647,0
C4703837,C1420527,0
C4703837,C1412691,0
C4703837,C1418674,0
C4703837,C1418469,0
C4703837,C1418470,0
C4703837,C1414085,0
C4703837,C3469975,0
C4703837,C1420150,0
C0257685,C1538301,0
C0257685,C1415012,0
C0257685,C1415009,0
C0257685,C1417647,0
C0257685,C1420527,0
C0257685,C1412691,0
C0257685,C1418674,0
C0257685,C1418469,0
C0257685,C1418470,0
C0257685,C1414085,0
C0257685,C3469975,0
C0257685,C1420150,0
C0065583,C1538301,0
C0065583,C1415012,0
C0065583,C1415009,0
C0065583,C1417647,0
C0065583,C1420527,0
C0065583,C1412691,0
C0065583,C1418674,0
C0065583,C1418469,0
C0065583,C1418470,0
C0065583,C1414085,0
C0065583,C3469975,0
C0065583,C1420150,0
C2974540,C1538301,0
C2974540,C1415012,0
C2974540,C1415009,0
C2974540,C1417647,0
C2974540,C1420527,0
C2974540,C1412691,0
C2974540,C1418674,0
C2974540,C1418469,0
C2974540,C1418470,0
C2974540,C1414085,0
C2974540,C3469975,0
C2974540,C1420150,0
C0538927,C1538301,0
C0538927,C1415012,0
C0538927,C1415009,0
C0538927,C1417647,0
C0538927,C1420527,0
C0538927,C1412691,0
C0538927,C1418674,0
C0538927,C1418469,0
C0538927,C1418470,0
C0538927,C1414085,0
C0538927,C3469975,0
C0538927,C1420150,0
C0387288,C1538301,0
C0387288,C1415012,0
C0387288,C1415009,0
C0387288,C1417647,0
C0387288,C1420527,0
C0387288,C1412691,0
C0387288,C1418674,0
C0387288,C1418469,0
C0387288,C1418470,0
C0387288,C1414085,0
C0387288,C3469975,0
C0387288,C1420150,0
C1165353,C1538301,0
C1165353,C1415012,0
C1165353,C1415009,0
C1165353,C1417647,0
C1165353,C1420527,0
C1165353,C1412691,0
C1165353,C1418674,0
C1165353,C1418469,0
C1165353,C1418470,0
C1165353,C1414085,0
C1165353,C3469975,0
C1165353,C1420150,0
C0031469,C1538301,0
C0031469,C1415012,0
C0031469,C1415009,0
C0031469,C1417647,0
C0031469,C1420527,0
C0031469,C1412691,0
C0031469,C1418674,0
C0031469,C1418469,0
C0031469,C1418470,0
C0031469,C1414085,0
C0031469,C3469975,0
C0031469,C1420150,0
C0699376,C1538301,0
C0699376,C1415012,0
C0699376,C1415009,0
C0699376,C1417647,0
C0699376,C1420527,0
C0699376,C1412691,0
C0699376,C1418674,0
C0699376,C1418469,0
C0699376,C1418470,0
C0699376,C1414085,0
C0699376,C3469975,0
C0699376,C1420150,0
C0054196,C1538301,0
C0054196,C1415012,0
C0054196,C1412339,0
C0054196,C1415009,0
C0054196,C1417647,0
C0054196,C1420527,0
C0054196,C1412691,0
C0054196,C1418674,0
C0054196,C1418469,0
C0054196,C1418470,0
C0054196,C1414085,0
C0054196,C3469975,0
C0054196,C1420150,0
C4086264,C1538301,0
C4086264,C1415012,0
C4086264,C1415009,0
C4086264,C1417647,0
C4086264,C1420527,0
C4086264,C1412691,0
C4086264,C1418674,0
C4086264,C1418469,0
C4086264,C1418470,0
C4086264,C1414085,0
C4086264,C3469975,0
C4086264,C1420150,0
C0525079,C1538301,0
C0525079,C1415012,0
C0525079,C1415009,0
C0525079,C1417647,0
C0525079,C1420527,0
C0525079,C1412691,0
C0525079,C1418674,0
C0525079,C1418469,0
C0525079,C1418470,0
C0525079,C1414085,0
C0525079,C3469975,0
C0525079,C1420150,0
C0700784,C1538301,0
C0700784,C1415012,0
C0700784,C1415009,0
C0700784,C1417647,0
C0700784,C1420527,0
C0700784,C1412691,0
C0700784,C1418674,0
C0700784,C1418469,0
C0700784,C1418470,0
C0700784,C1414085,0
C0700784,C3469975,0
C0700784,C1420150,0
C0063103,C1538301,0
C0063103,C1415012,0
C0063103,C1415009,0
C0063103,C1417647,0
C0063103,C1420527,0
C0063103,C1412691,0
C0063103,C1418674,0
C0063103,C1418469,0
C0063103,C1418470,0
C0063103,C1414085,0
C0063103,C3469975,0
C0063103,C1420150,0
C2933912,C1538301,0
C2933912,C1415012,0
C2933912,C1415009,0
C2933912,C1417647,0
C2933912,C1420527,0
C2933912,C1412691,0
C2933912,C1418674,0
C2933912,C1418469,0
C2933912,C1418470,0
C2933912,C1414085,0
C2933912,C3469975,0
C2933912,C1420150,0
C0066700,C1538301,0
C0066700,C1415012,0
C0066700,C1415009,0
C0066700,C1417647,0
C0066700,C1420527,0
C0066700,C1412691,0
C0066700,C1418674,0
C0066700,C1418469,0
C0066700,C1418470,0
C0066700,C1414085,0
C0066700,C3469975,0
C0066700,C1420150,0
C2350866,C1538301,0
C2350866,C1415012,0
C2350866,C1415009,0
C2350866,C1417647,0
C2350866,C1420527,0
C2350866,C1412691,0
C2350866,C1418674,0
C2350866,C1418469,0
C2350866,C1418470,0
C2350866,C1414085,0
C2350866,C3469975,0
C2350866,C1420150,0
C0531104,C1538301,0
C0531104,C1415012,0
C0531104,C1415009,0
C0531104,C1417647,0
C0531104,C1420527,0
C0531104,C1412691,0
C0531104,C1418674,0
C0531104,C1418469,0
C0531104,C1418470,0
C0531104,C1414085,0
C0531104,C3469975,0
C0531104,C1420150,0
C0052565,C1538301,0
C0052565,C1415012,0
C0052565,C1415009,0
C0052565,C1417647,0
C0052565,C1420527,0
C0052565,C1412691,0
C0052565,C1418674,0
C0052565,C1418469,0
C0052565,C1418470,0
C0052565,C1414085,0
C0052565,C3469975,0
C0052565,C1420150,0
C0047845,C1538301,0
C0047845,C1415012,0
C0047845,C1415009,0
C0047845,C1417647,0
C0047845,C1420527,0
C0047845,C1412691,0
C0047845,C1418674,0
C0047845,C1418469,0
C0047845,C1418470,0
C0047845,C1414085,0
C0047845,C3469975,0
C0047845,C1420150,0
C0031507,C1538301,0
C0031507,C1415012,0
C0031507,C1412339,0
C0031507,C1415009,0
C0031507,C1417647,0
C0031507,C1420527,0
C0031507,C1412691,0
C0031507,C1418674,0
C0031507,C1418469,0
C0031507,C1418470,0
C0031507,C1414085,0
C0031507,C3469975,0
C0031507,C1420150,0
C0076278,C1538301,0
C0076278,C1415012,0
C0076278,C1415009,0
C0076278,C1417647,0
C0076278,C1420527,0
C0076278,C1412691,0
C0076278,C1418674,0
C0076278,C1418469,0
C0076278,C1418470,0
C0076278,C1414085,0
C0076278,C3469975,0
C0076278,C1420150,0
C0002496,C1538301,0
C0002496,C1415012,0
C0002496,C1415009,0
C0002496,C1417647,0
C0002496,C1420527,0
C0002496,C1412691,0
C0002496,C1418674,0
C0002496,C1418469,0
C0002496,C1418470,0
C0002496,C1414085,0
C0002496,C3469975,0
C0002496,C1420150,0
C0725616,C1538301,0
C0725616,C1415012,0
C0725616,C1415009,0
C0725616,C1417647,0
C0725616,C1420527,0
C0725616,C1412691,0
C0725616,C1418674,0
C0725616,C1418469,0
C0725616,C1418470,0
C0725616,C1414085,0
C0725616,C3469975,0
C0725616,C1420150,0
C0166128,C1538301,0
C0166128,C1415012,0
C0166128,C1415009,0
C0166128,C1417647,0
C0166128,C1420527,0
C0166128,C1412691,0
C0166128,C1418674,0
C0166128,C1418469,0
C0166128,C1418470,0
C0166128,C1414085,0
C0166128,C3469975,0
C0166128,C1420150,0
