Drug_UMLS_CUI,Disease_UMLS_CUI,GROUNDTRUTH
C0008024,C0752120,0
C0008024,C0018802,0
C0008024,C0752121,0
C0008024,C0078918,0
C0008024,C0036341,0
C0008024,C0017601,0
C0008024,C0013364,0
C0008024,C0014335,0
C0008024,C0006271,0
C0008024,C0035372,0
C0008024,C0393735,0
C0008024,C0150055,0
C0008024,C0020179,0
C0008024,C0003578,0
C0008024,C0282512,0
C0008024,C0027126,0
C0008024,C0268467,0
C0008024,C0349653,0
C0008024,C0393571,0
C0008024,C1563715,0
C0008024,C0175694,0
C0008024,C0035258,0
C0008024,C0017605,0
C0008024,C3714756,0
C1317928,C0023264,0
C1317928,C0751882,0
C1317928,C1849508,0
C1317928,C0043459,0
C1317928,C0024408,0
C1317928,C0268631,0
C1317928,C0268595,0
C1317928,C0027126,0
C1317928,C0268467,0
C1317928,C0349653,0
C0022322,C0023264,0
C0022322,C0751882,0
C0022322,C1849508,0
C0022322,C0043459,0
C0022322,C0024408,0
C0022322,C0268631,0
C0022322,C0268595,0
C0022322,C0027126,0
C0022322,C0268467,0
C0022322,C0349653,0
C0047625,C0023264,0
C0047625,C0751882,0
C0047625,C1849508,0
C0047625,C0043459,0
C0047625,C0024408,0
C0047625,C0268631,0
C0047625,C0268595,0
C0047625,C0027126,0
C0047625,C0268467,0
C0047625,C0349653,0
C0378675,C0023264,0
C0378675,C0751882,0
C0378675,C1849508,0
C0378675,C0043459,0
C0378675,C0024408,0
C0378675,C0268631,0
C0378675,C0268595,0
C0378675,C0027126,0
C0378675,C0268467,0
C0378675,C0349653,0
C0285590,C0023264,0
C0285590,C0751882,0
C0285590,C1849508,0
C0285590,C0043459,0
C0285590,C0024408,0
C0285590,C0268631,0
C0285590,C0268595,0
C0285590,C0027126,0
C0285590,C0268467,0
C0285590,C0349653,0
C4519273,C0023264,0
C4519273,C0751882,0
C4519273,C1849508,0
C4519273,C0043459,0
C4519273,C0024408,0
C4519273,C0268631,0
C4519273,C0268595,0
C4519273,C0027126,0
C4519273,C0268467,0
C4519273,C0349653,0
C0164815,C0023264,0
C0164815,C0751882,0
C0164815,C1849508,0
C0164815,C0043459,0
C0164815,C0024408,0
C0164815,C0268631,0
C0164815,C0268595,0
C0164815,C0027126,0
C0164815,C0268467,0
C0164815,C0349653,0
C2934030,C0023264,0
C2934030,C0751882,0
C2934030,C1849508,0
C2934030,C0043459,0
C2934030,C0024408,0
C2934030,C0268631,0
C2934030,C0268595,0
C2934030,C0027126,0
C2934030,C0268467,0
C2934030,C0349653,0
C0041086,C0023264,0
C0041086,C0751882,0
C0041086,C1849508,0
C0041086,C0043459,0
C0041086,C0024408,0
C0041086,C0268631,0
C0041086,C0268595,0
C0041086,C0027126,0
C0041086,C0268467,0
C0041086,C0349653,0
C0093999,C0023264,0
C0093999,C0751882,0
C0093999,C1849508,0
C0093999,C0043459,0
C0093999,C0024408,0
C0093999,C0268631,0
C0093999,C0268595,0
C0093999,C0027126,0
C0093999,C0268467,0
C0093999,C0349653,0
C0593051,C0023264,0
C0593051,C0751882,0
C0593051,C1849508,0
C0593051,C0043459,0
C0593051,C0024408,0
C0593051,C0268631,0
C0593051,C0268595,0
C0593051,C0027126,0
C0593051,C0268467,0
C0593051,C0349653,0
C0061938,C0023264,0
C0061938,C0751882,0
C0061938,C1849508,0
C0061938,C0043459,0
C0061938,C0024408,0
C0061938,C0268631,0
C0061938,C0268595,0
C0061938,C0027126,0
C0061938,C0268467,0
C0061938,C0349653,0
C0023660,C0023264,0
C0023660,C0751882,0
C0023660,C1849508,0
C0023660,C0043459,0
C0023660,C0024408,0
C0023660,C0268631,0
C0023660,C0268595,0
C0023660,C0027126,0
C0023660,C0268467,0
C0023660,C0349653,0
C1831731,C0023264,0
C1831731,C0751882,0
C1831731,C1849508,0
C1831731,C0043459,0
C1831731,C0024408,0
C1831731,C0268631,0
C1831731,C0268595,0
C1831731,C0027126,0
C1831731,C0268467,0
C1831731,C0349653,0
C0011689,C0023264,0
C0011689,C0751882,0
C0011689,C1849508,0
C0011689,C0043459,0
C0011689,C0024408,0
C0011689,C0268631,0
C0011689,C0268595,0
C0011689,C0027126,0
C0011689,C0268467,0
C0011689,C0349653,0
C4519269,C0023264,0
C4519269,C0751882,0
C4519269,C1849508,0
C4519269,C0043459,0
C4519269,C0024408,0
C4519269,C0268631,0
C4519269,C0268595,0
C4519269,C0027126,0
C4519269,C0268467,0
C4519269,C0349653,0
C0123047,C0023264,0
C0123047,C0751882,0
C0123047,C1849508,0
C0123047,C0043459,0
C0123047,C0024408,0
C0123047,C0268631,0
C0123047,C0268595,0
C0123047,C0027126,0
C0123047,C0268467,0
C0123047,C0349653,0
C0148345,C0023264,0
C0148345,C0751882,0
C0148345,C1849508,0
C0148345,C0043459,0
C0148345,C0024408,0
C0148345,C0268631,0
C0148345,C0268595,0
C0148345,C0027126,0
C0148345,C0268467,0
C0148345,C0349653,0
C4053698,C0023264,0
C4053698,C0751882,0
C4053698,C1849508,0
C4053698,C0043459,0
C4053698,C0024408,0
C4053698,C0268631,0
C4053698,C0268595,0
C4053698,C0027126,0
C4053698,C0268467,0
C4053698,C0349653,0
C2604307,C0023264,0
C2604307,C0751882,0
C2604307,C1849508,0
C2604307,C0043459,0
C2604307,C0024408,0
C2604307,C0268631,0
C2604307,C0268595,0
C2604307,C0027126,0
C2604307,C0268467,0
C2604307,C0349653,0
C0053097,C0023264,0
C0053097,C0751882,0
C0053097,C1849508,0
C0053097,C0043459,0
C0053097,C0024408,0
C0053097,C0268631,0
C0053097,C0268595,0
C0053097,C0027126,0
C0053097,C0268467,0
C0053097,C0349653,0
C0001888,C0023264,0
C0001888,C0751882,0
C0001888,C1849508,0
C0001888,C0043459,0
C0001888,C0024408,0
C0001888,C0268631,0
C0001888,C0268595,0
C0001888,C0027126,0
C0001888,C0268467,0
C0001888,C0349653,0
C0001407,C0023264,0
C0001407,C0751882,0
C0001407,C1849508,0
C0001407,C0043459,0
C0001407,C0024408,0
C0001407,C0268631,0
C0001407,C0268595,0
C0001407,C0027126,0
C0001407,C0268467,0
C0001407,C0349653,0
C2348066,C0023264,0
C2348066,C0751882,0
C2348066,C1849508,0
C2348066,C0043459,0
C2348066,C0024408,0
C2348066,C0268631,0
C2348066,C0268595,0
C2348066,C0027126,0
C2348066,C0268467,0
C2348066,C0349653,0
C0025815,C0023264,0
C0025815,C0751882,0
C0025815,C1849508,0
C0025815,C0043459,0
C0025815,C0024408,0
C0025815,C0268631,0
C0025815,C0268595,0
C0025815,C0027126,0
C0025815,C0268467,0
C0025815,C0349653,0
C0936139,C0023264,0
C0936139,C0751882,0
C0936139,C1849508,0
C0936139,C0043459,0
C0936139,C0024408,0
C0936139,C0268631,0
C0936139,C0268595,0
C0936139,C0027126,0
C0936139,C0268467,0
C0936139,C0349653,0
C1569608,C0036572,0
C1569608,C0282528,0
C1569608,C0008780,0
C1569608,C0033860,0
C1569608,C0149893,0
C1569608,C0020541,0
C1569608,C0023895,0
C1569608,C0030193,0
C1569608,C1535926,0
C1569608,C0026769,0
C1569608,C0023890,0
C1569608,C0005424,0
C1569608,C0027051,0
C1569608,C2931688,0
C1569608,C0162635,0
C1569608,C0014553,0
C1569608,C0037772,0
C1569608,C1142166,0
C1569608,C0038220,0
C1569608,C0085612,0
C1569608,C0007222,0
C1569608,C0022578,0
C1569608,C0022972,0
C1569608,C0004604,0
C1569608,C0029408,0
C1569608,C0003873,0
C1569608,C0026896,0
C1569608,C0009806,0
C1569608,C0011849,0
C1569608,C0023264,0
C1569608,C1145670,0
C1569608,C0038868,0
C1569608,C0751882,0
C1569608,C0029121,0
C1569608,C0687148,0
C1569608,C0342895,0
C1569608,C0035222,0
C1569608,C0085649,0
C1569608,C0002736,0
C1569608,C0001125,0
C1569608,C0004238,0
C1569608,C0376358,0
C1569608,C0007959,0
C1569608,C0037928,0
C1569608,C0022661,0
C1569608,C0004352,0
C1569608,C0037769,0
C1569608,C0553604,0
C1569608,C0038218,0
C1569608,C0010200,0
C1569608,C3495559,0
C1569608,C0033845,0
C1569608,C0020538,0
C1569608,C0032580,0
C1569608,C0001916,0
C1569608,C1849508,0
C1569608,C0020258,0
C1569608,C0003537,0
C1569608,C0004106,0
C1569608,C0030568,0
C1569608,C1510471,0
C1569608,C0520679,0
C1569608,C0020490,0
C1569608,C0013604,0
C1569608,C0600260,0
C1569608,C0442874,0
C1569608,C0347950,0
C1569608,C0087012,0
C1569608,C0011269,0
C1569608,C0017612,0
C1569608,C1527304,0
C1569608,C2711227,0
C1569608,C0015397,0
C1569608,C0026847,0
C1569608,C0026848,0
C1569608,C0206693,0
C1569608,C0338451,0
C1569608,C0006325,0
C1569608,C0236780,0
C1569608,C0005586,0
C1569608,C0031485,0
C1569608,C0004096,0
C1569608,C0027092,0
C1569608,C0162316,0
C1569608,C0034063,0
C1569608,C1956346,0
C1569608,C0043459,0
C1569608,C0008350,0
C1569608,C0011882,0
C1569608,C0751965,0
C1569608,C0027947,0
C1569608,C0009324,0
C1569608,C0085417,0
C1569608,C0242383,0
C1569608,C0022658,0
C1569608,C0028754,0
C1569608,C0242422,0
C1569608,C0238052,0
C1569608,C0011884,0
C1569608,C0015967,0
C1569608,C0278883,0
C1569608,C1168401,0
C1569608,C0206754,0
C1569608,C0042510,0
C1569608,C0751435,0
C1569608,C0751436,0
C1569608,C0271051,0
C1569608,C0022104,0
C1569608,C0002418,0
C1569608,C0006266,0
C1569608,C0021775,0
C1569608,C0002895,0
C1569608,C0268631,0
C1569608,C0268595,0
C1569608,C0751434,0
C1569608,C0752120,0
C1569608,C0018802,0
C1569608,C0752121,0
C1569608,C0078918,0
C1569608,C0036341,0
C1569608,C0017601,0
C1569608,C0013364,0
C1569608,C0014335,0
C1569608,C0006271,0
C1569608,C0035372,0
C1569608,C0393735,0
C1569608,C0150055,0
C1569608,C0020179,0
C1569608,C0003578,0
C1569608,C0282512,0
C1569608,C0027126,0
C1569608,C0268467,0
C1569608,C0349653,0
C1569608,C0393571,0
C1569608,C1563715,0
C1569608,C0175694,0
C1569608,C0035258,0
C1569608,C0017605,0
C1569608,C3714756,0
C0077069,C0023264,0
C0077069,C0751882,0
C0077069,C1849508,0
C0077069,C0043459,0
C0077069,C0024408,0
C0077069,C0268631,0
C0077069,C0268595,0
C0077069,C0027126,0
C0077069,C0268467,0
C0077069,C0349653,0
C4519258,C0023264,0
C4519258,C0751882,0
C4519258,C1849508,0
C4519258,C0043459,0
C4519258,C0024408,0
C4519258,C0268631,0
C4519258,C0268595,0
C4519258,C0027126,0
C4519258,C0268467,0
C4519258,C0349653,0
C0908935,C0023264,0
C0908935,C0751882,0
C0908935,C1849508,0
C0908935,C0043459,0
C0908935,C0024408,0
C0908935,C0268631,0
C0908935,C0268595,0
C0908935,C0027126,0
C0908935,C0268467,0
C0908935,C0349653,0
C0936148,C0023264,0
C0936148,C0751882,0
C0936148,C1849508,0
C0936148,C0043459,0
C0936148,C0024408,0
C0936148,C0268631,0
C0936148,C0268595,0
C0936148,C0027126,0
C0936148,C0268467,0
C0936148,C0349653,0
C4682392,C0023264,0
C4682392,C0751882,0
C4682392,C1849508,0
C4682392,C0043459,0
C4682392,C0024408,0
C4682392,C0268631,0
C4682392,C0268595,0
C4682392,C0027126,0
C4682392,C0268467,0
C4682392,C0349653,0
C4079830,C0023264,0
C4079830,C0751882,0
C4079830,C1849508,0
C4079830,C0043459,0
C4079830,C0024408,0
C4079830,C0268631,0
C4079830,C0268595,0
C4079830,C0027126,0
C4079830,C0268467,0
C4079830,C0349653,0
C0733899,C0023264,0
C0733899,C0751882,0
C0733899,C1849508,0
C0733899,C0043459,0
C0733899,C0024408,0
C0733899,C0268631,0
C0733899,C0268595,0
C0733899,C0027126,0
C0733899,C0268467,0
C0733899,C0349653,0
C3642466,C0023264,0
C3642466,C0751882,0
C3642466,C1849508,0
C3642466,C0043459,0
C3642466,C0024408,0
C3642466,C0268631,0
C3642466,C0268595,0
C3642466,C0027126,0
C3642466,C0268467,0
C3642466,C0349653,0
C4682397,C0023264,0
C4682397,C0751882,0
C4682397,C1849508,0
C4682397,C0043459,0
C4682397,C0024408,0
C4682397,C0268631,0
C4682397,C0268595,0
C4682397,C0027126,0
C4682397,C0268467,0
C4682397,C0349653,0
C0252643,C0023264,0
C0252643,C0751882,0
C0252643,C1849508,0
C0252643,C0043459,0
C0252643,C0024408,0
C0252643,C0268631,0
C0252643,C0268595,0
C0252643,C0027126,0
C0252643,C0268467,0
C0252643,C0349653,0
C0028094,C0023264,0
C0028094,C0751882,0
C0028094,C1849508,0
C0028094,C0043459,0
C0028094,C0024408,0
C0028094,C0268631,0
C0028094,C0268595,0
C0028094,C0027126,0
C0028094,C0268467,0
C0028094,C0349653,0
C0253563,C0023264,0
C0253563,C0751882,0
C0253563,C1849508,0
C0253563,C0043459,0
C0253563,C0024408,0
C0253563,C0268631,0
C0253563,C0268595,0
C0253563,C0027126,0
C0253563,C0268467,0
C0253563,C0349653,0
C2698682,C0023264,0
C2698682,C0751882,0
C2698682,C1849508,0
C2698682,C0043459,0
C2698682,C0024408,0
C2698682,C0268631,0
C2698682,C0268595,0
C2698682,C0027126,0
C2698682,C0268467,0
C2698682,C0349653,0
C4053633,C0023264,0
C4053633,C0751882,0
C4053633,C1849508,0
C4053633,C0043459,0
C4053633,C0024408,0
C4053633,C0268631,0
C4053633,C0268595,0
C4053633,C0027126,0
C4053633,C0268467,0
C4053633,C0349653,0
C2718773,C0023264,0
C2718773,C0751882,0
C2718773,C1849508,0
C2718773,C0043459,0
C2718773,C0024408,0
C2718773,C0268631,0
C2718773,C0268595,0
C2718773,C0027126,0
C2718773,C0268467,0
C2718773,C0349653,0
C0282045,C0023264,0
C0282045,C0751882,0
C0282045,C1849508,0
C0282045,C0043459,0
C0282045,C0024408,0
C0282045,C0268631,0
C0282045,C0268595,0
C0282045,C0027126,0
C0282045,C0268467,0
C0282045,C0349653,0
C1509560,C0023264,0
C1509560,C0751882,0
C1509560,C1849508,0
C1509560,C0043459,0
C1509560,C0024408,0
C1509560,C0268631,0
C1509560,C0268595,0
C1509560,C0027126,0
C1509560,C0268467,0
C1509560,C0349653,0
C0000970,C0023264,0
C0000970,C0751882,0
C0000970,C1849508,0
C0000970,C0043459,0
C0000970,C0024408,0
C0000970,C0268631,0
C0000970,C0268595,0
C0000970,C0027126,0
C0000970,C0268467,0
C0000970,C0349653,0
C0035608,C0023264,0
C0035608,C0751882,0
C0035608,C1849508,0
C0035608,C0043459,0
C0035608,C0024408,0
C0035608,C0268631,0
C0035608,C0268595,0
C0035608,C0027126,0
C0035608,C0268467,0
C0035608,C0349653,0
C4519232,C0023264,0
C4519232,C0751882,0
C4519232,C1849508,0
C4519232,C0043459,0
C4519232,C0024408,0
C4519232,C0268631,0
C4519232,C0268595,0
C4519232,C0027126,0
C4519232,C0268467,0
C4519232,C0349653,0
C4519235,C0023264,0
C4519235,C0751882,0
C4519235,C1849508,0
C4519235,C0024408,0
C4519235,C0268595,0
C4519235,C0027126,0
C0070455,C0023264,0
C0070455,C0751882,0
C0070455,C1849508,0
C0070455,C0043459,0
C0070455,C0024408,0
C0070455,C0268631,0
C0070455,C0268595,0
C0070455,C0027126,0
C0070455,C0268467,0
C0070455,C0349653,0
C0069456,C0023264,0
C0069456,C0751882,0
C0069456,C1849508,0
C0069456,C0043459,0
C0069456,C0024408,0
C0069456,C0268631,0
C0069456,C0268595,0
C0069456,C0027126,0
C0069456,C0268467,0
C0069456,C0349653,0
C0071304,C0023264,0
C0071304,C0751882,0
C0071304,C1849508,0
C0071304,C0043459,0
C0071304,C0024408,0
C0071304,C0268631,0
C0071304,C0268595,0
C0071304,C0027126,0
C0071304,C0268467,0
C0071304,C0349653,0
C0028066,C0023264,0
C0028066,C0751882,0
C0028066,C1849508,0
C0028066,C0043459,0
C0028066,C0024408,0
C0028066,C0268631,0
C0028066,C0268595,0
C0028066,C0027126,0
C0028066,C0268467,0
C0028066,C0349653,0
C0041041,C0023264,0
C0041041,C0751882,0
C0041041,C1849508,0
C0041041,C0043459,0
C0041041,C0024408,0
C0041041,C0268631,0
C0041041,C0268595,0
C0041041,C0027126,0
C0041041,C0268467,0
C0041041,C0349653,0
C0753474,C0023264,0
C0753474,C0751882,0
C0753474,C1849508,0
C0753474,C0043459,0
C0753474,C0024408,0
C0753474,C0268631,0
C0753474,C0268595,0
C0753474,C0027126,0
C0753474,C0268467,0
C0753474,C0349653,0
C2974540,C0023264,0
C2974540,C0751882,0
C2974540,C1849508,0
C2974540,C0043459,0
C2974540,C0024408,0
C2974540,C0268631,0
C2974540,C0268595,0
C2974540,C0027126,0
C2974540,C0268467,0
C2974540,C0349653,0
C2698692,C0023264,0
C2698692,C0751882,0
C2698692,C1849508,0
C2698692,C0043459,0
C2698692,C0024408,0
C2698692,C0268631,0
C2698692,C0268595,0
C2698692,C0027126,0
C2698692,C0268467,0
C2698692,C0349653,0
C0102118,C0023264,0
C0102118,C0751882,0
C0102118,C1849508,0
C0102118,C0043459,0
C0102118,C0024408,0
C0102118,C0268631,0
C0102118,C0268595,0
C0102118,C0027126,0
C0102118,C0268467,0
C0102118,C0349653,0
C4520219,C0023264,0
C4520219,C0751882,0
C4520219,C0043459,0
C4520219,C0024408,0
C4520219,C0268595,0
C4520219,C0027126,0
C4520219,C0349653,0
C0041037,C0023264,0
C0041037,C0751882,0
C0041037,C1849508,0
C0041037,C0043459,0
C0041037,C0024408,0
C0041037,C0268631,0
C0041037,C0268595,0
C0041037,C0027126,0
C0041037,C0268467,0
C0041037,C0349653,0
C0041038,C0023264,0
C0041038,C0751882,0
C0041038,C1849508,0
C0041038,C0043459,0
C0041038,C0024408,0
C0041038,C0268631,0
C0041038,C0268595,0
C0041038,C0027126,0
C0041038,C0268467,0
C0041038,C0349653,0
C0700930,C0023264,0
C0700930,C0751882,0
C0700930,C1849508,0
C0700930,C0043459,0
C0700930,C0024408,0
C0700930,C0268631,0
C0700930,C0268595,0
C0700930,C0027126,0
C0700930,C0268467,0
C0700930,C0349653,0
C0077071,C0023264,0
C0077071,C0751882,0
C0077071,C1849508,0
C0077071,C0043459,0
C0077071,C0024408,0
C0077071,C0268631,0
C0077071,C0268595,0
C0077071,C0027126,0
C0077071,C0268467,0
C0077071,C0349653,0
C0077072,C0023264,0
C0077072,C0751882,0
C0077072,C0043459,0
C0077072,C0024408,0
C0077072,C0268595,0
C0077072,C0027126,0
C0077072,C0349653,0
C0025805,C0023264,0
C0025805,C0751882,0
C0025805,C1849508,0
C0025805,C0043459,0
C0025805,C0024408,0
C0025805,C0268631,0
C0025805,C0268595,0
C0025805,C0027126,0
C0025805,C0268467,0
C0025805,C0349653,0
C4520217,C0023264,0
C4520217,C0751882,0
C4520217,C1849508,0
C4520217,C0043459,0
C4520217,C0024408,0
C4520217,C0268631,0
C4520217,C0268595,0
C4520217,C0027126,0
C4520217,C0268467,0
C4520217,C0349653,0
C3492270,C0023264,0
C3492270,C0751882,0
C3492270,C1849508,0
C3492270,C0043459,0
C3492270,C0024408,0
C3492270,C0268631,0
C3492270,C0268595,0
C3492270,C0027126,0
C3492270,C0268467,0
C3492270,C0349653,0
C2939773,C0023264,0
C2939773,C0751882,0
C2939773,C1849508,0
C2939773,C0043459,0
C2939773,C0024408,0
C2939773,C0268631,0
C2939773,C0268595,0
C2939773,C0027126,0
C2939773,C0268467,0
C2939773,C0349653,0
C3501287,C0023264,0
C3501287,C0751882,0
C3501287,C1849508,0
C3501287,C0043459,0
C3501287,C0024408,0
C3501287,C0268631,0
C3501287,C0268595,0
C3501287,C0027126,0
C3501287,C0268467,0
C3501287,C0349653,0
C4519220,C0023264,0
C4519220,C0751882,0
C4519220,C1849508,0
C4519220,C0043459,0
C4519220,C0024408,0
C4519220,C0268631,0
C4519220,C0268595,0
C4519220,C0027126,0
C4519220,C0268467,0
C4519220,C0349653,0
C0535185,C0023264,0
C0535185,C0751882,0
C0535185,C1849508,0
C0535185,C0043459,0
C0535185,C0024408,0
C0535185,C0268631,0
C0535185,C0268595,0
C0535185,C0027126,0
C0535185,C0268467,0
C0535185,C0349653,0
C4550958,C0036572,0
C4550958,C0282528,0
C4550958,C0020541,0
C4550958,C0023895,0
C4550958,C0030193,0
C4550958,C1535926,0
C4550958,C0023890,0
C4550958,C0002395,0
C4550958,C2931688,0
C4550958,C0014553,0
C4550958,C0037772,0
C4550958,C0038220,0
C4550958,C0085612,0
C4550958,C0007222,0
C4550958,C0022972,0
C4550958,C0004604,0
C4550958,C0029408,0
C4550958,C0003873,0
C4550958,C0026896,0
C4550958,C0009806,0
C4550958,C0011849,0
C4550958,C0023264,0
C4550958,C1145670,0
C4550958,C0038868,0
C4550958,C0751882,0
C4550958,C0342895,0
C4550958,C0035222,0
C4550958,C0085649,0
C4550958,C0002736,0
C4550958,C0004238,0
C4550958,C0376358,0
C4550958,C0007959,0
C4550958,C0004352,0
C4550958,C1692317,0
C4550958,C0037769,0
C4550958,C0553604,0
C4550958,C0010200,0
C4550958,C3495559,0
C4550958,C0033845,0
C4550958,C0020538,0
C4550958,C0001916,0
C4550958,C1849508,0
C4550958,C0020258,0
C4550958,C0030567,0
C4550958,C0520679,0
C4550958,C0948089,0
C4550958,C0013604,0
C4550958,C0600260,0
C4550958,C0016719,0
C4550958,C0442874,0
C4550958,C0347950,0
C4550958,C0087012,0
C4550958,C0011269,0
C4550958,C0017612,0
C4550958,C1527304,0
C4550958,C2711227,0
C4550958,C0026847,0
C4550958,C0026848,0
C4550958,C0206693,0
C4550958,C0338451,0
C4550958,C0005586,0
C4550958,C0031485,0
C4550958,C0004096,0
C4550958,C0034063,0
C4550958,C1956346,0
C4550958,C0043459,0
C4550958,C0009324,0
C4550958,C0022658,0
C4550958,C0028754,0
C4550958,C0242422,0
C4550958,C0238052,0
C4550958,C0015967,0
C4550958,C1168401,0
C4550958,C0206754,0
C4550958,C0042510,0
C4550958,C0751435,0
C4550958,C0751436,0
C4550958,C0022104,0
C4550958,C0024408,0
C4550958,C0268631,0
C4550958,C0006826,0
C4550958,C0268595,0
C4550958,C0751434,0
C4550958,C0013238,0
C4550958,C0752120,0
C4550958,C0018802,0
C4550958,C0752121,0
C4550958,C0036341,0
C4550958,C0017601,0
C4550958,C0013364,0
C4550958,C0014335,0
C4550958,C0006271,0
C4550958,C0035372,0
C4550958,C0393735,0
C4550958,C0020179,0
C4550958,C0003578,0
C4550958,C0027126,0
C4550958,C0268467,0
C4550958,C0349653,0
C4550958,C0035258,0
C4550958,C0017605,0
C4550958,C3714756,0
C4049141,C0023264,0
C4049141,C0751882,0
C4049141,C1849508,0
C4049141,C0043459,0
C4049141,C0024408,0
C4049141,C0268631,0
C4049141,C0268595,0
C4049141,C0027126,0
C4049141,C0268467,0
C4049141,C0349653,0
C0041030,C0023264,0
C0041030,C0751882,0
C0041030,C1849508,0
C0041030,C0043459,0
C0041030,C0024408,0
C0041030,C0268631,0
C0041030,C0268595,0
C0041030,C0027126,0
C0041030,C0268467,0
C0041030,C0349653,0
C4049146,C0023264,0
C4049146,C0751882,0
C4049146,C1849508,0
C4049146,C0043459,0
C4049146,C0024408,0
C4049146,C0268631,0
C4049146,C0268595,0
C4049146,C0027126,0
C4049146,C0268467,0
C4049146,C0349653,0
C1958612,C0023264,0
C1958612,C0751882,0
C1958612,C1849508,0
C1958612,C0043459,0
C1958612,C0024408,0
C1958612,C0268631,0
C1958612,C0268595,0
C1958612,C0027126,0
C1958612,C0268467,0
C1958612,C0349653,0
C4079805,C0023264,0
C4079805,C0751882,0
C4079805,C1849508,0
C4079805,C0043459,0
C4079805,C0024408,0
C4079805,C0268631,0
C4079805,C0268595,0
C4079805,C0027126,0
C4079805,C0268467,0
C4079805,C0349653,0
C2604745,C0023264,0
C2604745,C0751882,0
C2604745,C1849508,0
C2604745,C0043459,0
C2604745,C0024408,0
C2604745,C0268631,0
C2604745,C0268595,0
C2604745,C0027126,0
C2604745,C0268467,0
C2604745,C0349653,0
C0018242,C0023264,0
C0018242,C0751882,0
C0018242,C1849508,0
C0018242,C0043459,0
C0018242,C0024408,0
C0018242,C0268631,0
C0018242,C0268595,0
C0018242,C0027126,0
C0018242,C0268467,0
C0018242,C0349653,0
C4507236,C0023264,0
C4507236,C0751882,0
C4507236,C1849508,0
C4507236,C0043459,0
C4507236,C0024408,0
C4507236,C0268631,0
C4507236,C0268595,0
C4507236,C0027126,0
C4507236,C0268467,0
C4507236,C0349653,0
C0740143,C0023264,0
C0740143,C0751882,0
C0740143,C1849508,0
C0740143,C0043459,0
C0740143,C0024408,0
C0740143,C0268631,0
C0740143,C0268595,0
C0740143,C0027126,0
C0740143,C0268467,0
C0740143,C0349653,0
C0677667,C0023264,0
C0677667,C0751882,0
